Title,Year,Genre,budget,opening weekend,worldwide gross,Rotten Tomatoes score
Avengers: Age of Ultron,2015,"Action, Adventure, Sci-Fi",280000000.0,23416967.466666665,1405018048.0,76
The Lion King,1994,"Animation, Adventure, Drama",45000000.0,27717923.35,1663075401.0,93
The Lion King,1994,"Animation, Adventure, Drama",45000000.0,27717923.35,1663075401.0,93
Frozen,2013,"Animation, Adventure, Comedy",150000000.0,21409008.633333333,1284540518.0,90
Frozen,2013,"Animation, Adventure, Comedy",150000000.0,21409008.633333333,1284540518.0,90
Avatar,2009,"Action, Adventure, Fantasy",237000000.0,48728433.766666666,2923706026.0,82
Titanic,1997,"Drama, Romance",200000000.0,36578182.733333334,2194690964.0,88
Titanic,1997,"Drama, Romance",200000000.0,36578182.733333334,2194690964.0,88
The Lion King,1994,"Animation, Adventure, Drama",45000000.0,16141863.416666666,968511805.0,93
The Lion King,1994,"Animation, Adventure, Drama",45000000.0,16141863.416666666,968511805.0,93
The Avengers,2012,"Action, Sci-Fi",220000000.0,25342308.933333334,1520538536.0,91
Furious 7,2015,"Action, Crime, Thriller",190000000.0,25255689.983333334,1515341399.0,81
Jurassic World,2015,"Action, Adventure, Sci-Fi",150000000.0,27858957.4,1671537444.0,71
Minions,2015,"Animation, Adventure, Comedy",74000000.0,19324077.7,1159444662.0,55
How to Lose a Guy in 10 Days,2003,"Comedy, Romance",50000000.0,2958373.1166666667,177502387.0,42
Paranormal Activity 2,2010,"Horror, Mystery",3000000.0,2958533.8666666667,177512032.0,57
War Horse,2011,"Action, Adventure, Drama",66000000.0,2959747.9833333334,177584879.0,75
Double Jeopardy,1999,"Crime, Drama, Mystery",70000000.0,2964025.966666667,177841558.0,28
Flubber,1997,"Comedy, Family, Sci-Fi",80000000.0,2966287.1,177977226.0,23
Patriot Games,1992,"Action, Thriller",45000000.0,2967526.45,178051587.0,74
Brokeback Mountain,2005,"Drama, Romance",14000000.0,2967712.65,178062759.0,88
Dante's Peak,1997,"Action, Adventure, Thriller",116000000.0,2968796.0,178127760.0,28
Scary Movie 4,2006,Comedy,45000000.0,2971043.6666666665,178262620.0,34
Flushed Away,2006,"Animation, Action, Adventure",149000000.0,2971359.2333333334,178281554.0,73
Along Came Polly,2004,"Comedy, Romance",42000000.0,2971862.15,178311729.0,27
Eagle Eye,2008,"Action, Mystery, Thriller",80000000.0,2979456.3833333333,178767383.0,26
He's Just Not That Into You,2009,"Comedy, Drama, Romance",40000000.0,2981102.6333333333,178866158.0,41
The Hobbit: An Unexpected Journey,2012,Fantasy,250000000.0,16950510.85,1017030651.0,64
Alice in Wonderland,2010,"Adventure, Family, Fantasy",200000000.0,17091136.933333334,1025468216.0,51
Alice in Wonderland,2010,"Adventure, Family, Fantasy",200000000.0,17091136.933333334,1025468216.0,51
Star Wars: Episode I - The Phantom Menace,1999,"Action, Adventure, Fantasy",115000000.0,17118045.116666667,1027082707.0,51
Pirates of the Caribbean: On Stranger Tides,2011,"Action, Adventure, Fantasy",380000000.0,17445354.433333334,1046721266.0,33
Aladdin,1992,"Animation, Adventure, Comedy",28000000.0,17571733.333333332,1054304000.0,95
Aladdin,1992,"Animation, Adventure, Comedy",28000000.0,17571733.333333332,1054304000.0,95
Pirates of the Caribbean: Dead Man's Chest,2006,"Action, Adventure, Fantasy",200000000.0,17769662.45,1066179747.0,53
Toy Story 3,2010,"Animation, Adventure, Comedy",200000000.0,17788601.683333334,1067316101.0,98
Harry Potter and the Goblet of Fire,2005,"Adventure, Family, Fantasy",150000000.0,14946918.433333334,896815106.0,88
The Lord of the Rings: The Fellowship of the Ring,2001,"Action, Adventure, Drama",93000000.0,14970073.666666666,898204420.0,91
Harry Potter and the Chamber of Secrets,2002,"Adventure, Family, Fantasy",100000000.0,15417573.683333334,925054421.0,82
Shrek 2,2004,"Animation, Adventure, Comedy",150000000.0,15479346.166666666,928760770.0,89
Harry Potter and the Half-Blood Prince,2009,"Action, Adventure, Family",250000000.0,15575078.333333334,934504700.0,84
Finding Nemo,2003,"Animation, Adventure, Comedy",94000000.0,15693966.0,941637960.0,99
Harry Potter and the Order of the Phoenix,2007,"Action, Adventure, Family",150000000.0,15704634.083333334,942278045.0,78
The Lord of the Rings: The Two Towers,2002,"Action, Adventure, Drama",79000000.0,15799071.166666666,947944270.0,95
The Hobbit: The Desolation of Smaug,2013,"Adventure, Fantasy",250000000.0,15983799.866666667,959027992.0,74
The Hobbit: The Battle of the Five Armies,2014,"Adventure, Fantasy",250000000.0,16036688.966666667,962201338.0,59
The Jungle Book,2016,"Adventure, Drama, Family",175000000.0,16128746.25,967724775.0,94
The Jungle Book,2016,"Adventure, Drama, Family",175000000.0,16128746.25,967724775.0,94
Despicable Me 2,2013,"Animation, Adventure, Comedy",76000000.0,16179433.416666666,970766005.0,75
The Dark Knight,2008,"Action, Crime, Drama",185000000.0,16770569.45,1006234167.0,94
Spider-Man,2002,"Action, Adventure, Sci-Fi",139000000.0,13750417.266666668,825025036.0,90
Transformers: Revenge of the Fallen,2009,"Action, Adventure, Sci-Fi",150000000.0,13938394.883333333,836303693.0,20
Inception,2010,"Action, Adventure, Sci-Fi",160000000.0,13947468.366666667,836848102.0,87
Inside Out,2015,"Animation, Adventure, Comedy",175000000.0,14314133.65,858848019.0,98
The Hunger Games: Catching Fire,2013,"Action, Adventure, Sci-Fi",130000000.0,14416862.433333334,865011746.0,90
Star Wars: Episode III - Revenge of the Sith,2005,"Action, Adventure, Fantasy",113000000.0,14473176.0,868390560.0,79
Batman v Superman: Dawn of Justice,2016,"Action, Adventure, Sci-Fi",250000000.0,14560625.466666667,873637528.0,29
Ice Age: Continental Drift,2012,"Animation, Adventure, Comedy",95000000.0,14620746.366666667,877244782.0,37
Spectre,2015,"Action, Adventure, Thriller",245000000.0,14678421.866666667,880705312.0,63
The Secret Life of Pets,2016,"Animation, Adventure, Comedy",75000000.0,14905474.483333332,894328469.0,72
Spider-Man 3,2007,"Action, Adventure, Sci-Fi",258000000.0,14916389.55,894983373.0,63
Deadpool,2016,"Action, Comedy",58000000.0,13047279.85,782836791.0,85
Spider-Man 2,2004,"Action, Adventure, Sci-Fi",200000000.0,13149607.55,788976453.0,93
Indiana Jones and the Kingdom of the Crystal Skull,2008,"Action, Adventure",185000000.0,13177565.7,790653942.0,78
2012,2009,"Action, Adventure, Sci-Fi",200000000.0,13186963.766666668,791217826.0,39
Harry Potter and the Prisoner of Azkaban,2004,"Adventure, Family, Fantasy",130000000.0,13294346.1,797660766.0,90
Shrek the Third,2007,"Animation, Adventure, Comedy",160000000.0,13556123.0,813367380.0,41
Independence Day,1996,"Action, Adventure, Sci-Fi",75000000.0,13623348.183333334,817400891.0,67
