Title,Year,Genre,Runtime,Gross,imdbRating,imdbRatingVotes,metascoreRating,rottenRating,metacriticRating,Budget
Beauty and the Beast,1991,"Animation, Family, Fantasy",84,424967620,8.0,458593,95.0,94,95,
Frozen II,2019,"Animation, Adventure, Comedy",103,1453683476,6.8,176430,64.0,77,64,
The Lion King,1994,"Animation, Adventure, Drama",88,1663075401,8.5,1063065,88.0,93,88,45000000.0
Frozen,2013,"Animation, Adventure, Comedy",102,1284540518,7.4,630750,75.0,90,75,150000000.0
Avatar,2009,"Action, Adventure, Fantasy",162,2923706026,7.9,1313610,83.0,82,83,237000000.0
Black Panther,2018,"Action, Adventure, Sci-Fi",134,1349926083,7.3,780443,88.0,96,88,
Titanic,1997,"Drama, Romance",194,2194690964,7.9,1185567,75.0,88,75,200000000.0
Beauty and the Beast,1991,"Animation, Family, Fantasy",84,1266115964,8.0,458593,95.0,94,95,
The Lion King,1994,"Animation, Adventure, Drama",88,968511805,8.5,1063065,88.0,93,88,45000000.0
The Avengers,2012,"Action, Sci-Fi",143,1520538536,8.0,1397515,69.0,91,69,220000000.0
Furious 7,2015,"Action, Crime, Thriller",137,1515341399,7.1,393693,67.0,81,67,190000000.0
Jurassic World,2015,"Action, Adventure, Sci-Fi",124,1671537444,6.9,648088,59.0,71,59,150000000.0
City Slickers,1991,"Comedy, Western",113,179033791,6.8,59040,70.0,88,70,
Hero,2002,"Action, Adventure, Drama",120,177395557,7.9,183032,85.0,22,85,31000000.0
Avengers: Endgame,2019,"Action, Adventure, Drama",181,2799439100,8.4,1141629,78.0,94,78,
Avatar: The Way of Water,2022,"Action, Adventure, Fantasy",192,2177913346,7.8,274520,67.0,77,67,
Cliff Walkers,2021,"Crime, Drama, Thriller",120,181325565,6.6,2410,,81,58,
Top Gun: Maverick,2022,"Action, Drama",130,1488732821,8.3,511025,78.0,96,78,
Avengers: Age of Ultron,2015,"Action, Adventure, Sci-Fi",141,1405018048,7.3,868690,66.0,76,66,280000000.0
Harry Potter and the Deathly Hallows: Part 2,2011,"Adventure, Family, Fantasy",130,1342359942,8.1,882427,85.0,96,85,
Star Wars: Episode VIII - The Last Jedi,2017,"Action, Adventure, Fantasy",152,1334407706,6.9,636644,84.0,91,84,
Jurassic World: Fallen Kingdom,2018,"Action, Adventure, Sci-Fi",128,1310466296,6.1,320919,51.0,47,51,
Incredibles 2,2018,"Animation, Action, Adventure",118,1243225667,7.6,301655,80.0,93,80,
The Fate of the Furious,2017,"Action, Crime, Thriller",136,1236005118,6.6,235460,56.0,67,56,
Iron Man 3,2013,"Action, Adventure, Sci-Fi",130,1215577205,7.1,856150,62.0,79,62,200000000.0
Avengers: Infinity War,2018,"Action, Adventure, Sci-Fi",149,2052415039,8.4,1090272,68.0,85,68,
Captain America: Civil War,2016,"Action, Sci-Fi",147,1155046416,7.8,794549,75.0,90,75,250000000.0
Aquaman,2018,"Action, Adventure, Fantasy",143,1148528393,6.8,479976,55.0,65,55,
